Immobilie	Quadratmeter	Wandhoehe	IA_Ratio	Kategorie
106	16.00	3.00	6.00	Buero
107	289.00	3.50	18.00	Buero
108	183.00	2.70	15.00	Wohnung
109	196.00	3.00	18.00	Wohnung
110	191.00	2.70	20.00	Wohnung
111	299.00	3.50	5.00	Buero
112	202.00	2.80	2.00	Wohnung
113	160.00	3.20	23.00	Wohnung
114	221.00	3.00	2.00	Buero
115	170.00	2.90	43.00	Wohnung
116	205.00	3.00	47.00	Wohnung
117	78.00	3.20	10.00	Buero
118	54.00	3.20	40.00	Wohnung
119	76.00	2.80	34.00	Wohnung
120	189.00	2.80	34.00	Wohnung
121	178.00	3.20	25.00	Wohnung
122	1235.00	3.50	7.00	Haus
123	289.00	2.80	13.00	Buero
124	105.00	2.70	48.00	Wohnung
125	138.00	2.80	52.00	Wohnung
126	190.00	2.70	13.00	Wohnung
127	635.00	3.50	16.00	Haus
128	57.00	3.00	10.00	Wohnung
129	1050.00	2.85	60.00	Haus
130	98.00	2.80	23.00	Wohnung
131	172.00	2.90	21.00	Wohnung
132	54.00	2.80	10.00	Wohnung
133	66.00	2.75	9.00	Buero
134	1189.00	3.50	44.00	Haus
135	215.00	4.20	21.00	Haus
136	177.00	3.00	20.00	Wohnung
137	38.00	2.70	2.00	Buero
138	295.00	3.20	7.00	Buero
139	314.00	3.50	2.00	Buero
140	32.00	3.40	19.00	Buero
141	238.00	2.80	10.00	Buero
142	21.00	2.80	17.00	Buero
143	41.00	2.80	45.00	Wohnung
144	298.00	3.10	13.00	Buero
145	167.00	2.70	42.00	Wohnung
146	92.00	3.20	13.00	Wohnung
147	176.00	2.90	52.00	Wohnung
148	203.00	3.00	52.00	Wohnung
149	182.00	2.70	41.00	Wohnung
150	65.00	2.80	24.00	Wohnung
151	131.00	3.00	14.00	Buero
152	218.00	2.80	20.00	Buero
153	90.00	2.70	39.00	Wohnung
154	181.00	3.80	2.00	Buero
155	145.00	3.10	1.00	Buero
156	10.00	2.70	12.00	Buero
157	173.00	3.00	24.00	Wohnung
158	201.00	3.20	35.00	Wohnung
159	308.00	3.00	0.00	Buero
160	34.00	2.70	28.00	Wohnung
161	209.00	2.80	4.00	Wohnung
162	203.00	2.80	9.00	Buero
163	44.00	2.70	3.00	Wohnung
164	185.00	2.80	37.00	Wohnung
165	79.00	3.00	27.00	Wohnung
166	115.00	2.80	18.00	Buero
167	67.00	3.50	5.00	Buero
168	37.00	2.70	14.00	Wohnung
169	170.00	2.80	18.00	Wohnung
170	180.00	2.70	31.00	Wohnung
171	343.00	3.20	14.00	Buero
172	159.00	2.70	18.00	Buero
173	71.00	2.70	39.00	Wohnung
174	89.00	2.80	18.00	Wohnung
175	177.00	2.80	55.00	Wohnung
176	180.00	2.80	17.00	Wohnung
177	128.00	3.00	0.00	Wohnung
178	137.00	2.80	49.00	Wohnung
179	139.00	3.20	30.00	Wohnung
180	102.00	3.00	8.00	Wohnung
181	155.00	2.75	13.00	Wohnung
182	798.00	4.00	28.00	Haus
183	163.00	2.80	12.00	Buero
184	70.00	2.90	23.00	Wohnung
185	322.00	3.50	10.00	Buero
186	198.00	3.20	8.00	Buero
187	159.00	3.20	30.00	Wohnung
188	155.00	3.50	4.00	Buero
189	142.00	2.80	54.00	Wohnung
190	123.00	2.70	48.00	Wohnung
191	243.00	3.80	8.00	Buero
192	160.00	2.70	39.00	Wohnung
193	68.00	2.80	4.00	Wohnung
194	54.00	3.40	14.00	Buero
195	211.00	3.00	43.00	Wohnung
196	232.00	3.20	3.00	Buero
197	133.00	3.00	49.00	Wohnung
198	146.00	3.20	5.00	Buero
199	110.00	2.70	17.00	Wohnung
200	63.00	2.90	32.00	Wohnung
201	145.00	3.20	49.00	Wohnung
202	37.00	2.80	34.00	Wohnung
203	46.00	2.80	7.00	Buero
204	161.00	2.80	2.00	Wohnung
205	215.00	3.00	6.00	Buero
206	1207.00	3.50	57.00	Haus
207	192.00	3.00	3.00	Buero
208	192.00	3.80	8.00	Buero
209	65.00	3.00	26.00	Wohnung
210	134.00	2.80	52.00	Wohnung
211	213.00	2.70	10.00	Wohnung
212	277.00	3.00	3.00	Buero
213	31.00	3.00	25.00	Wohnung
214	213.00	3.00	10.00	Buero
215	102.00	2.70	0.00	Wohnung
216	126.00	3.50	16.00	Buero
217	219.00	2.80	13.00	Wohnung
218	130.00	2.80	20.00	Wohnung
219	235.00	3.55	0.00	Buero
220	206.00	2.70	40.00	Wohnung
221	163.00	2.90	51.00	Wohnung
222	1162.00	4.50	33.00	Haus
223	117.00	3.00	13.00	Wohnung
224	125.00	2.80	17.00	Wohnung
225	164.00	2.80	51.00	Wohnung
226	125.00	3.00	12.00	Buero
227	203.00	3.00	15.00	Buero
228	220.00	2.80	46.00	Wohnung
229	1295.00	3.00	27.00	Haus
230	106.00	2.90	10.00	Wohnung
231	210.00	2.80	24.00	Wohnung
232	131.00	3.00	12.00	Buero
233	42.00	3.20	53.00	Wohnung
234	174.00	3.00	30.00	Wohnung
235	137.00	3.00	37.00	Wohnung
236	42.00	3.00	53.00	Wohnung
237	101.00	3.00	45.00	Wohnung
238	109.00	3.80	12.00	Buero
239	166.00	2.70	20.00	Wohnung
240	135.00	3.00	5.00	Wohnung
241	345.00	3.00	20.00	Buero
242	135.00	2.80	34.00	Wohnung
243	166.00	3.40	13.00	Buero
244	982.00	5.00	42.00	Haus
245	65.00	3.00	7.00	Wohnung
246	65.00	2.80	5.00	Buero
247	202.00	2.70	27.00	Wohnung
248	211.00	2.70	15.00	Wohnung
249	834.00	4.00	11.00	Haus
250	133.00	3.20	3.00	Buero
251	196.00	2.80	41.00	Wohnung
252	66.00	3.10	20.00	Buero
253	212.00	3.00	18.00	Buero
254	105.00	2.70	18.00	Wohnung
255	46.00	2.90	6.00	Wohnung
256	168.00	2.80	54.00	Wohnung
257	207.00	2.70	2.00	Wohnung
258	113.00	3.40	19.00	Buero
259	151.00	3.80	0.00	Buero
260	30.00	2.80	10.00	Wohnung
261	97.00	3.80	12.00	Buero
262	46.00	2.90	8.00	Wohnung
263	155.00	2.80	52.00	Wohnung
264	184.00	2.80	33.00	Wohnung
265	212.00	3.20	50.00	Wohnung
266	204.00	2.90	13.00	Wohnung
267	131.00	2.80	17.00	Buero
268	94.00	2.90	55.00	Wohnung
269	89.00	2.80	19.00	Wohnung
270	103.00	3.00	32.00	Wohnung
271	1341.00	3.50	7.00	Haus
272	170.00	2.70	7.00	Wohnung
273	255.00	3.50	18.00	Buero
274	330.00	3.80	19.00	Buero
275	92.00	3.10	5.00	Buero
276	118.00	2.90	37.00	Wohnung
277	185.00	2.70	46.00	Wohnung
278	603.00	4.00	5.00	Haus
279	165.00	3.20	21.00	Wohnung
280	127.00	2.80	32.00	Wohnung
281	138.00	2.80	11.00	Wohnung
282	157.00	2.70	12.00	Wohnung
283	37.00	2.70	21.00	Wohnung
284	135.00	3.40	19.00	Buero
285	83.00	2.80	23.00	Wohnung
286	250.00	3.50	16.00	Buero
287	202.00	2.70	40.00	Wohnung
288	169.00	2.70	38.00	Wohnung
289	158.00	3.20	12.00	Wohnung
290	219.00	2.80	24.00	Wohnung
291	220.00	3.00	6.00	Wohnung
292	335.00	2.75	64.00	Haus
293	314.00	2.80	19.00	Buero
294	237.00	2.80	8.00	Buero
295	197.00	2.70	38.00	Wohnung
296	97.00	3.00	3.00	Buero
297	163.00	2.80	40.00	Wohnung
298	157.00	3.20	9.00	Wohnung
299	1710.00	5.00	56.00	Haus
300	93.00	3.10	9.00	Buero
301	216.00	3.00	39.00	Wohnung
302	98.00	3.20	4.00	Wohnung
303	211.00	3.20	6.00	Wohnung
304	191.00	2.80	43.00	Wohnung
305	54.00	2.90	30.00	Wohnung
306	123.00	2.70	51.00	Wohnung
307	94.00	2.70	15.00	Wohnung
308	719.00	3.00	10.00	Haus
309	126.00	2.80	28.00	Wohnung
310	764.00	5.00	4.00	Haus
311	1036.00	4.00	54.00	Haus
312	122.00	2.90	32.00	Wohnung
313	203.00	2.80	7.00	Wohnung
314	115.00	2.70	19.00	Wohnung
315	205.00	2.80	46.00	Wohnung
316	124.00	2.90	27.00	Wohnung
317	183.00	2.70	19.00	Wohnung
318	326.00	2.80	20.00	Buero
319	46.00	2.70	50.00	Wohnung
320	281.00	2.80	7.00	Buero
321	113.00	2.70	45.00	Wohnung
322	69.00	2.80	29.00	Wohnung
323	289.00	3.80	20.00	Buero
324	191.00	2.90	32.00	Wohnung
325	222.00	3.00	7.00	Buero
326	177.00	2.80	8.00	Wohnung
327	59.00	2.70	35.00	Wohnung
328	166.00	3.00	1.00	Wohnung
329	191.00	3.00	3.00	Wohnung
330	87.00	3.40	6.00	Buero
331	363.00	3.50	67.00	Haus
332	118.00	2.80	47.00	Wohnung
333	1463.00	4.00	9.00	Haus
334	285.00	4.00	48.00	Haus
335	104.00	2.80	36.00	Wohnung
336	132.00	3.00	24.00	Wohnung
337	302.00	2.70	8.00	Buero
338	179.00	3.20	18.00	Buero
339	39.00	2.70	53.00	Wohnung
340	135.00	2.80	1.00	Wohnung
341	99.00	2.80	12.00	Wohnung
342	199.00	3.00	6.00	Wohnung
343	97.00	3.00	11.00	Wohnung
344	116.00	3.10	19.00	Buero
345	260.00	3.40	5.00	Buero
346	288.00	3.50	13.00	Buero
347	306.00	2.70	12.00	Buero
348	30.00	2.80	31.00	Wohnung
349	86.00	3.20	19.00	Wohnung
350	132.00	2.70	35.00	Wohnung
351	169.00	2.80	39.00	Wohnung
352	174.00	3.00	38.00	Wohnung
353	963.00	3.50	60.00	Haus
354	94.00	2.90	50.00	Wohnung
355	50.00	2.80	19.00	Buero
356	184.00	3.00	5.00	Wohnung
357	1773.00	3.50	26.00	Haus
358	118.00	3.20	16.00	Wohnung
359	211.00	2.80	9.00	Wohnung
360	156.00	2.70	48.00	Wohnung
361	513.00	5.00	8.00	Haus
362	169.00	2.70	24.00	Wohnung
363	77.00	3.20	43.00	Wohnung
364	60.00	2.80	41.00	Wohnung
365	110.00	3.00	6.00	Buero
366	175.00	3.00	13.00	Wohnung
367	145.00	2.70	8.00	Buero
368	60.00	2.90	14.00	Wohnung
369	26.00	2.70	16.00	Buero
370	195.00	2.70	37.00	Wohnung
371	106.00	3.00	36.00	Wohnung
372	59.00	3.40	9.00	Buero
373	239.00	3.00	4.00	Buero
374	132.00	3.20	28.00	Wohnung
375	1769.00	4.20	54.00	Haus
376	178.00	3.80	17.00	Buero
377	288.00	3.40	9.00	Buero
378	1443.00	4.20	9.00	Haus
379	189.00	2.80	4.00	Wohnung
380	157.00	2.80	16.00	Wohnung
381	243.00	3.80	2.00	Buero
382	137.00	3.20	12.00	Wohnung
383	76.00	3.20	46.00	Wohnung
384	121.00	2.80	10.00	Wohnung
385	162.00	2.70	10.00	Wohnung
386	220.00	3.00	15.00	Buero
387	167.00	2.80	18.00	Wohnung
388	39.00	2.80	54.00	Wohnung
389	175.00	2.70	23.00	Wohnung
390	119.00	3.00	12.00	Buero
391	149.00	3.00	37.00	Wohnung
392	93.00	2.90	22.00	Wohnung
393	146.00	2.80	32.00	Wohnung
394	35.00	2.70	43.00	Wohnung
395	204.00	2.70	11.00	Wohnung
396	69.00	3.80	17.00	Buero
397	178.00	2.80	33.00	Wohnung
398	66.00	3.00	25.00	Wohnung
399	308.00	2.70	5.00	Buero
400	28.00	2.70	8.00	Wohnung
401	66.00	2.80	7.00	Wohnung
402	84.00	2.80	15.00	Wohnung
403	89.00	2.80	2.00	Wohnung
404	275.00	3.00	2.00	Buero
405	223.00	3.50	10.00	Haus
406	78.00	3.00	20.00	Buero
407	51.00	2.80	51.00	Wohnung
408	168.00	2.90	55.00	Wohnung
409	230.00	3.40	9.00	Buero
410	111.00	3.10	19.00	Buero
411	58.00	3.80	0.00	Buero
412	197.00	3.00	2.00	Buero
413	205.00	2.70	10.00	Wohnung
414	210.00	3.00	11.00	Buero
415	259.00	3.50	68.00	Haus
416	147.00	2.90	7.00	Wohnung
417	313.00	3.80	9.00	Buero
418	147.00	2.80	3.00	Wohnung
419	120.00	3.00	9.00	Wohnung
420	64.00	3.80	12.00	Buero
421	88.00	3.00	16.00	Buero
422	125.00	2.90	6.00	Wohnung
423	185.00	3.20	0.00	Wohnung
424	326.00	3.80	10.00	Buero
425	199.00	2.90	27.00	Wohnung
426	182.00	2.70	55.00	Wohnung
427	51.00	2.80	27.00	Wohnung
428	789.00	5.00	41.00	Haus
429	48.00	2.90	33.00	Wohnung
430	20.00	3.00	1.00	Buero
431	770.00	3.00	45.00	Haus
432	105.00	3.15	46.00	Wohnung
433	185.00	2.80	7.00	Wohnung
434	208.00	2.80	2.00	Wohnung
435	146.00	2.80	34.00	Wohnung
436	84.00	3.00	10.00	Buero
437	196.00	3.00	19.00	Buero
438	84.00	3.20	38.00	Wohnung
439	74.00	3.00	50.00	Wohnung
440	52.00	3.20	39.00	Wohnung
441	191.00	3.40	9.00	Buero
442	144.00	3.80	2.00	Buero
443	518.00	3.50	52.00	Haus
444	125.00	3.00	46.00	Wohnung
445	95.00	3.00	54.00	Wohnung
446	130.00	2.70	54.00	Wohnung
447	205.00	2.80	38.00	Wohnung
448	153.00	2.80	2.00	Wohnung
449	164.00	2.70	1.00	Buero
450	148.00	2.80	6.00	Wohnung
451	76.00	3.00	8.00	Wohnung
452	76.00	3.20	52.00	Wohnung
453	158.00	3.00	11.00	Wohnung
454	41.00	2.70	11.00	Wohnung
455	138.00	3.00	40.00	Wohnung
456	199.00	2.80	47.00	Wohnung
457	553.00	3.50	4.00	Haus
458	213.00	2.70	15.00	Wohnung
459	85.00	2.90	35.00	Wohnung
460	309.00	3.20	19.00	Buero
461	113.00	3.20	28.00	Wohnung
462	291.00	3.50	16.00	Buero
463	289.00	2.70	17.00	Buero
464	99.00	2.80	10.00	Wohnung
465	164.00	2.80	32.00	Wohnung
466	325.00	2.80	12.00	Buero
467	127.00	2.80	2.00	Wohnung
468	149.00	3.20	28.00	Wohnung
469	50.00	2.80	28.00	Wohnung
470	346.00	2.70	20.00	Buero
471	14.00	3.20	12.00	Buero
472	99.00	3.00	4.00	Buero
473	52.00	3.40	7.00	Buero
474	106.00	3.00	27.00	Wohnung
475	196.00	3.20	33.00	Wohnung
476	218.00	2.70	48.00	Wohnung
477	140.00	2.80	32.00	Wohnung
478	53.00	3.00	6.00	Buero
479	113.00	3.20	32.00	Wohnung
480	179.00	3.00	24.00	Wohnung
481	718.00	4.20	6.00	Haus
482	96.00	2.80	47.00	Wohnung
483	75.00	2.80	14.00	Buero
484	35.00	2.80	6.00	Wohnung
485	168.00	2.80	1.00	Buero
486	225.00	3.00	43.00	Haus
487	260.00	3.50	16.00	Buero
488	320.00	3.80	6.00	Buero
489	189.00	2.80	37.00	Wohnung
490	175.00	2.70	46.00	Wohnung
491	318.00	3.40	16.00	Buero
492	1635.00	5.00	67.00	Haus
493	19.00	3.40	13.00	Buero
494	66.00	2.80	32.00	Wohnung
495	70.00	3.20	26.00	Wohnung
496	104.00	3.00	35.00	Wohnung
497	307.00	3.80	13.00	Buero
498	113.00	2.80	10.00	Wohnung
499	68.00	2.80	17.00	Wohnung
500	257.00	3.00	4.00	Buero
501	84.00	2.80	17.00	Wohnung
502	223.00	2.70	9.00	Buero
503	931.00	5.00	26.00	Haus
504	93.00	3.40	5.00	Buero
505	176.00	2.80	13.00	Wohnung
506	284.00	3.00	14.00	Buero
507	151.00	3.00	21.00	Wohnung
508	201.00	2.70	41.00	Wohnung
509	66.00	3.00	12.00	Buero
510	195.00	2.80	18.00	Wohnung
511	210.00	2.80	41.00	Wohnung
512	89.00	2.80	3.00	Wohnung
513	129.00	3.20	8.00	Buero
514	102.00	2.70	39.00	Wohnung
515	155.00	2.80	48.00	Wohnung
516	82.00	3.20	31.00	Wohnung
517	78.00	2.80	3.00	Wohnung
518	155.00	3.95	54.00	Wohnung
519	80.00	3.00	30.00	Wohnung
520	59.00	2.80	18.00	Buero
521	92.00	3.80	11.00	Buero
522	36.00	3.40	1.00	Buero
523	119.00	3.00	24.00	Wohnung
524	81.00	3.00	48.00	Wohnung
525	101.00	2.70	19.00	Wohnung
526	170.00	2.90	31.00	Wohnung
527	338.00	3.10	1.00	Buero
528	74.00	3.00	31.00	Wohnung
529	1065.00	4.00	19.00	Haus
530	273.00	3.40	19.00	Buero
531	57.00	3.00	9.00	Buero
532	18.00	3.80	10.00	Buero
533	68.00	2.80	38.00	Wohnung
534	243.00	3.00	29.00	Haus
535	121.00	2.80	11.00	Wohnung
536	155.00	2.90	25.00	Wohnung
537	124.00	3.00	19.00	Wohnung
538	151.00	3.00	8.00	Buero
539	297.00	3.80	14.00	Buero
540	108.00	3.00	30.00	Wohnung
541	1198.00	5.00	34.00	Haus
542	195.00	3.20	41.00	Wohnung
543	172.00	3.00	34.00	Wohnung
544	640.00	3.00	39.00	Haus
545	319.00	3.00	18.00	Buero
546	143.00	3.20	27.00	Wohnung
547	61.00	3.80	20.00	Buero
548	189.00	2.90	23.00	Wohnung
549	177.00	2.90	43.00	Wohnung
550	45.00	2.90	40.00	Wohnung
551	106.00	3.15	16.00	Buero
552	308.00	3.50	8.00	Buero
553	169.00	2.80	1.00	Wohnung
554	145.00	3.00	25.00	Wohnung
555	21.00	3.10	15.00	Buero
556	242.00	2.70	2.00	Buero
557	82.00	2.80	10.00	Wohnung
558	232.00	3.50	15.00	Buero
559	60.00	3.10	12.00	Buero
560	136.00	2.70	47.00	Wohnung
561	176.00	2.80	40.00	Wohnung
562	144.00	2.70	6.00	Wohnung
563	299.00	3.00	17.00	Buero
564	66.00	3.50	10.00	Buero
565	163.00	2.80	44.00	Wohnung
566	178.00	3.50	1.00	Buero
567	29.00	3.00	28.00	Wohnung
568	145.00	2.70	40.00	Wohnung
569	140.00	2.70	36.00	Wohnung
570	173.00	2.70	36.00	Wohnung
571	62.00	3.00	11.00	Buero
572	273.00	3.00	11.00	Buero
573	82.00	2.80	54.00	Wohnung
574	306.00	3.50	3.00	Buero
575	194.00	3.20	50.00	Wohnung
576	192.00	2.80	17.00	Wohnung
577	170.00	2.90	0.00	Wohnung
578	261.00	3.00	7.00	Buero
579	182.00	2.70	8.00	Wohnung
580	102.00	2.90	37.00	Wohnung
581	326.00	3.40	5.00	Buero
582	1016.00	5.00	67.00	Haus
583	101.00	2.90	39.00	Wohnung
584	250.00	3.10	15.00	Buero
585	338.00	3.00	11.00	Buero
586	15.00	2.62	13.00	Buero
587	99.00	3.20	16.00	Wohnung
588	74.00	2.70	18.00	Wohnung
589	194.00	2.80	4.00	Wohnung
590	106.00	3.10	13.00	Buero
591	228.00	3.10	20.00	Buero
592	115.00	3.00	6.00	Wohnung
593	63.00	2.80	44.00	Wohnung
594	723.00	5.00	67.00	Haus
595	248.00	3.20	3.00	Buero
596	1249.00	4.00	31.00	Haus
597	95.00	2.90	15.00	Wohnung
598	51.00	2.90	21.00	Wohnung
599	111.00	2.70	20.00	Wohnung
600	318.00	3.00	1.00	Buero
601	11.00	3.00	5.00	Buero
602	23.00	3.40	3.00	Buero
603	64.00	3.40	6.00	Buero
604	141.00	3.50	20.00	Buero
605	285.00	3.00	13.00	Buero
606	112.00	3.20	16.00	Buero
607	614.00	3.00	14.00	Haus
608	53.00	3.00	12.00	Buero
609	189.00	2.70	31.00	Wohnung
610	186.00	3.20	5.00	Wohnung
611	790.00	3.50	41.00	Haus
612	70.00	2.90	2.00	Wohnung
613	130.00	2.80	8.00	Wohnung
614	177.00	3.40	16.00	Buero
615	170.00	2.80	3.00	Wohnung
616	135.00	2.90	9.00	Wohnung
617	181.00	2.70	27.00	Wohnung
618	475.00	5.00	66.00	Haus
619	34.00	3.00	5.00	Wohnung
620	177.00	3.80	5.00	Buero
621	117.00	2.70	1.00	Wohnung
622	54.00	2.80	33.00	Wohnung
623	182.00	3.20	15.00	Wohnung
624	61.00	3.50	16.00	Buero
625	149.00	3.00	14.00	Wohnung
626	216.00	2.80	4.00	Buero
627	216.00	3.80	6.00	Buero
628	136.00	2.80	39.00	Wohnung
629	110.00	2.80	36.00	Wohnung
630	85.00	2.80	30.00	Wohnung
631	291.00	3.50	58.00	Haus
632	185.00	2.80	13.00	Wohnung
633	66.00	2.80	32.00	Wohnung
634	124.00	2.80	31.00	Wohnung
635	115.00	3.00	40.00	Wohnung
636	287.00	2.70	11.00	Buero
637	125.00	3.00	10.00	Wohnung
638	76.00	2.90	45.00	Wohnung
639	76.00	3.00	16.00	Buero
640	69.00	3.20	26.00	Wohnung
641	109.00	2.80	46.00	Wohnung
642	140.00	3.00	47.00	Wohnung
643	124.00	2.80	14.00	Wohnung
644	850.00	3.50	4.00	Haus
645	331.00	3.00	18.00	Buero
646	194.00	2.80	10.00	Buero
647	217.00	2.80	36.00	Wohnung
648	267.00	3.50	7.00	Buero
649	79.00	3.10	15.00	Buero
650	263.00	3.40	18.00	Buero
651	52.00	2.90	40.00	Wohnung
652	217.00	2.90	36.00	Wohnung
653	31.00	3.20	13.00	Wohnung
654	289.00	2.70	18.00	Buero
655	86.00	2.80	19.00	Wohnung
656	128.00	3.00	25.00	Wohnung
657	344.00	2.80	19.00	Buero
658	188.00	2.90	1.00	Wohnung
659	32.00	3.00	53.00	Wohnung
660	286.00	3.00	3.00	Buero
661	1585.00	5.00	38.00	Haus
662	54.00	2.70	27.00	Wohnung
663	322.00	3.00	10.00	Buero
664	344.00	3.00	6.00	Buero
665	89.00	2.80	0.00	Wohnung
666	79.00	2.70	25.00	Wohnung
667	263.00	3.50	12.00	Buero
668	112.00	3.00	45.00	Wohnung
669	95.00	3.00	1.00	Wohnung
670	121.00	3.10	15.00	Buero
671	339.00	3.00	18.00	Buero
672	158.00	2.80	3.00	Wohnung
673	218.00	2.70	9.00	Wohnung
674	76.00	2.80	5.00	Wohnung
675	162.00	2.80	20.00	Buero
676	65.00	3.00	7.00	Buero
677	76.00	2.80	11.00	Wohnung
678	181.00	3.00	20.00	Buero
679	75.00	3.10	4.00	Buero
680	193.00	3.20	52.00	Wohnung
681	51.00	2.80	16.00	Wohnung
682	94.00	2.80	5.00	Buero
683	67.00	3.00	13.00	Wohnung
684	34.00	3.00	15.00	Buero
685	412.00	3.00	3.00	Haus
686	267.00	3.00	16.00	Buero
687	193.00	2.80	44.00	Wohnung
688	76.00	3.00	5.00	Wohnung
689	117.00	3.00	5.00	Wohnung
690	216.00	3.00	4.00	Buero
691	203.00	3.00	37.00	Wohnung
692	165.00	2.70	27.00	Wohnung
693	131.00	2.80	42.00	Wohnung
694	120.00	2.80	18.00	Wohnung
695	161.00	3.00	14.00	Wohnung
696	171.00	2.80	32.00	Wohnung
697	61.00	2.70	54.00	Wohnung
698	161.00	3.40	14.00	Buero
699	58.00	3.20	27.00	Wohnung
700	1696.00	5.00	43.00	Haus
701	181.00	3.10	17.00	Buero
702	333.00	3.20	12.00	Buero
703	659.00	5.00	48.00	Haus
704	195.00	3.00	27.00	Wohnung
705	63.00	2.80	39.00	Wohnung
706	91.00	3.00	35.00	Wohnung
707	190.00	3.00	40.00	Wohnung
708	145.00	3.00	3.00	Buero
709	267.00	3.00	0.00	Buero
710	178.00	2.70	3.00	Buero
711	142.00	3.00	42.00	Wohnung
712	101.00	3.00	33.00	Wohnung
713	152.00	2.80	28.00	Wohnung
714	284.00	3.10	15.00	Buero
715	262.00	3.00	13.00	Buero
716	121.00	3.00	34.00	Wohnung
717	165.00	3.20	5.00	Buero
718	16.00	2.70	7.00	Buero
719	316.00	2.80	20.00	Buero
720	194.00	3.10	8.00	Buero
721	115.00	3.80	2.00	Buero
722	52.00	3.00	18.00	Buero
723	77.00	2.70	17.00	Buero
724	203.00	2.80	11.00	Wohnung
725	32.00	2.90	41.00	Wohnung
